CountryCode,MatchesPlayed,Player,RedCards,YellowCards
RUS,3,Sergey IGNASHEVICH,0,0
RUS,3,Vasily Berezutski,0,0
RUS,3,Aleksandr Kerzhakov,0,0
CRO,3,Ivica Olic,0,0
IRN,3,Ashkan DEJAGAH,0,0
ENG,3,Wayne Rooney,0,0
CIV,3,Yaya TourÃ©,0,0
COL,3,Abel AGUILAR,0,0
CIV,3,Arthur BOKA,0,0
ESP,3,David SILVA,0,0
POR,3,MIGUEL VELOSO,0,0
COL,3,AdriÃ¡n Ramos,0,0
POR,3,Cristiano Ronaldo,0,0
CRO,3,Darijo Srna,0,0
CHI,3,Jorge VALDIVIA,0,0
IRN,3,Amir Hossein Sadeghi,0,0
GHA,3,Asamoah Gyan,0,0
POR,3,BRUNO ALVES,0,0
ITA,3,Andrea BARZAGLI,0,0
CMR,3,Pierre WebÃ³,0,0
ITA,3,Giorgio CHIELLINI,0,0
KOR,3,LEE Keunho,0,0
KOR,3,YUN Sukyoung,0,0
HON,3,Carlo COSTLY,0,0
ECU,3,Christian NOBOA,0,0
CIV,3,Gervinho,0,0
ITA,3,Matteo DARMIAN,0,0
JPN,3,Shinji OKAZAKI,0,0
KOR,3,LEE Chungyong,0,0
JPN,3,Atsuto UCHIDA,0,0
JPN,3,Shinji KAGAWA,0,0
POR,3,Nani,0,0
CRO,3,Luka Modric,0,0
IRN,3,Mehrdad POOLADI,0,0
IRN,3,Pejman MONTAZERI,0,0
ECU,3,Felipe Caicedo,0,0
SUI,3,Blerim DZEMAILI,0,0
RUS,3,Aleksandr Samedov,0,0
CMR,3,Charles ITANDJE,0,0
CRC,3,Randall BRENES,0,0
ALG,3,Carl MEDJANI,0,0
BRA,3,Hernanes,0,0
JPN,3,Keisuke HONDA,0,0
HON,3,Jorge CLAROS,0,0
URU,3,Alvaro PEREIRA,0,0
RUS,3,Victor FAYZULIN,0,0
BIH,3,Edin DZEKO,0,0
BIH,3,Vedad IBISEVIC,0,0
BIH,3,Miralem PJANIC,0,0
URU,3,NicolÃ¡s Lodeiro,0,0
RUS,3,Alan Dzagoev,0,0
ECU,3,Alexander DOMINGUEZ,0,0
HON,3,Roger ESPINOZA,0,0
IRN,3,Khosro HEYDARI,0,0
AUS,3,Jason DAVIDSON,0,0
AUS,3,Ryan McGOWAN,0,0
AUS,3,Tommy OAR,0,0
ENG,3,Daniel Sturridge,0,0
CMR,3,Nicolas N'Koulou,0,0
JPN,3,Yuto NAGATOMO,0,0
GHA,3,Kwadwo ASAMOAH,0,0
GHA,3,AndrÃ© Ayew,0,0
CMR,3,Benjamin Moukandjo,0,0
ALG,3,El Arabi SOUDANI,0,0
GHA,3,John Boye,0,0
CMR,3,Eric Maxim Choupo-Moting,0,0
GHA,3,Jonathan Mensah,0,0
GER,3,Shkodran MUSTAFI,0,0
ENG,3,Gary Cahill,0,0
ESP,3,Jordi ALBA,0,0
ALG,3,Medhi LACEN,0,0
AUS,3,Mathew LECKIE,0,0
GRE,3,Konstantinos MITROGLOU,0,0
MEX,3,Marco FABIAN,0,0
ARG,3,Enzo PEREZ,0,0
COL,3,Santiago Arias,0,0
COL,3,Jackson MARTINEZ,0,0
USA,3,DeAndre YEDLIN,0,0
ALG,3,Yacine BRAHIMI,0,0
CIV,3,Serge AURIER,0,0
RUS,3,Aleksandr Kokorin,0,0
GRE,3,Panagiotis KONE,0,0
CRO,3,Ivan PeriÅ¡ic,0,0
POR,3,Ãder,0,0
IRN,3,Reza Ghoochannejhad,0,0
BRA,3,BERNARD,0,0
COL,3,Juan Quintero,0,0
JPN,3,Hotaru YAMAGUCHI,0,0
CIV,3,Wilfried BONY,0,0
ALG,3,Abdelmoumene DJABOU,0,0
GHA,3,Christian ATSU,0,0
ALG,3,Esseid BELKALEM,0,0
IRN,3,Alireza HAGHIGHI,0,0
COL,3,VÃ­ctor Ibarbo,0,0
HON,3,Brayan BECKELES,0,0
CRO,3,Mateo Kovacic,0,0
GER,3,Christoph KRAMER,0,0
ALG,3,AÃ¯ssa Mandi,0,0
KOR,3,KIM Younggwon,0,0
IRN,3,Alireza JAHAN BAKHSH,0,0
AUS,3,Ben HALLORAN,0,0
NGA,4,Ahmed MUSA,0,0
NED,4,Memphis Depay,0,0
CHI,4,Felipe GUTIÃRREZ,0,0
SUI,4,Josip DRMIC,0,0
ALG,4,Islam SLIMANI,0,0
FRA,4,Mathieu Debuchy,0,0
FRA,4,Laurent Koscielny,0,0
SUI,4,Admir MEHMEDI,0,0
USA,4,Graham ZUSI,0,0
GRE,4,Jose CHOLEVAS,0,0
BEL,4,Kevin DE BRUYNE,0,0
BEL,4,Nacer Chadli,0,0
BEL,4,Romelu LUKAKU,0,0
MEX,4,Miguel LAYUN,0,0
NGA,4,Emmanuel Emenike,0,0
USA,4,Matt BESLER,0,0
NGA,4,Ogenyi ONAZI,0,0
FRA,4,Moussa Sissoko,0,0
ALG,4,Sofiane FEGHOULI,0,0
ARG,4,Federico FERNANDEZ,0,0
SUI,4,Xherdan SHAQIRI,0,0
GRE,4,Ioannis MANIATIS,0,0
ALG,4,Rais MBOLHI,0,0
MEX,4,HÃ©ctor Herrera,0,0
COL,4,Teofilo GUTIERREZ,0,0
SUI,4,Ricardo RODRIGUEZ,0,0
USA,4,Fabian Johnson,0,0
SUI,4,Haris SEFEROVIC,0,0
FRA,4,Mathieu Valbuena,0,0
USA,4,Alejandro Bedoya,0,0
BEL,4,Kevin MIRALLAS,0,0
NED,4,Jeremain LENS,0,0
URU,4,Christian Stuani,0,0
CHI,4,Gonzalo JARA,0,0
COL,4,Juan ZUNIGA,0,0
COL,4,Alexander MEJÃA,0,0
GRE,4,Theofanis GEKAS,0,0
CHI,4,Marcelo DIAZ,0,0
USA,4,Michael BRADLEY,0,0
MEX,4,Giovani DOS SANTOS,0,0
URU,4,Cristian RODRIGUEZ,0,0
SUI,4,Valon BEHRAMI,0,0
MEX,4,Javier HERNANDEZ,0,0
CHI,4,Mauricio ISLA,0,0
CHI,4,Alexis SANCHEZ,0,0
MEX,4,Oribe PERALTA,0,0
GRE,4,Orestis KARNEZIS,0,0
CHI,4,Gary MEDEL,0,0
SUI,4,Gokhan INLER,0,0
URU,4,Edinson CAVANI,0,0
CRC,4,Marcos URENA,0,0
CHI,4,Eduardo VARGAS,0,0
NGA,4,Efe AMBROSE,0,0
URU,4,Alvaro GONZALEZ,0,0
FRA,4,Mamadou SAKHO,0,0
NGA,4,Peter ODEMWINGIE,0,0
MEX,4,Francisco RODRIGUEZ,0,0
CHI,4,Claudio BRAVO,0,0
USA,4,Clint Dempsey,0,0
COL,4,Cristian ZAPATA,0,0
SUI,4,Diego BENAGLIO,0,0
SUI,4,Stephan LICHTSTEINER,0,0
NGA,4,Vincent ENYEAMA,0,0
